policy_id,policy_type,title,content
POL-001,shipping,Standard Shipping Policy,"Standard shipping takes 5-7 business days and costs $5.99 for orders under $50. Free standard shipping on orders over $50. Express shipping (2-3 business days) costs $12.99. Overnight shipping costs $24.99. Shipping times exclude weekends and holidays."
POL-002,returns,Return Policy,"We accept returns within 30 days of delivery for items in original condition with tags attached. Return shipping is free for defective items. Customer pays return shipping for change-of-mind returns. Refunds processed within 5-7 business days after receiving returned item. Original shipping costs are non-refundable except for defective products."
POL-003,warranty,Warranty Terms,"Products come with manufacturer warranty as specified (6-36 months depending on item). Warranty covers manufacturing defects but not damage from misuse, accidents, or normal wear. To claim warranty, contact us with order number and photos of defect. We'll arrange repair, replacement, or refund as appropriate."
POL-004,cancellation,Order Cancellation Policy,"Orders can be cancelled free of charge if they haven't been shipped yet. Once shipped, the order cannot be cancelled but can be returned following our return policy. To cancel, contact support with your order number. Refunds for cancelled orders are processed within 3-5 business days."
POL-005,payment,Payment Methods,"We accept Visa, Mastercard, American Express, Discover, PayPal, Apple Pay, and Google Pay. Payment is processed immediately upon order placement. We don't store credit card information - all transactions are processed securely through our payment processor."
POL-006,privacy,Data Privacy Policy,"We collect customer information (name, email, shipping address, order history) to process orders and improve service. We never sell customer data to third parties. Customers can request data deletion by contacting privacy@company.com. Data is encrypted in transit and at rest."
POL-007,refund,Refund Processing,"Refunds are issued to the original payment method. Credit card refunds take 5-7 business days to appear. PayPal refunds are instant. If you don't receive your refund within this timeframe, check with your bank first as processing times vary. Contact us if issues persist."
POL-008,damaged,Damaged Items Policy,"If you receive a damaged item, contact us within 48 hours with photos. We'll send a replacement immediately at no cost or issue a full refund including shipping. No need to return the damaged item unless we request it for quality control purposes."
POL-009,tracking,Order Tracking,"You'll receive a tracking number via email once your order ships. Tracking updates can take 24-48 hours to appear in carrier systems. If tracking shows no movement for 5+ days, contact us and we'll investigate with the carrier."
POL-010,international,International Shipping,"We currently ship to USA, Canada, UK, and Australia. International orders may be subject to customs fees and import duties (customer's responsibility). International shipping takes 10-15 business days. Orders over $100 include free international shipping."
